Model,Brand,Year,Price,Mileage,Transmission
Perodua Bezza,Perodua,2019,31800,103272,Automatic
Perodua Aruz,Perodua,2020,58900,68076,Automatic
Toyota Vios,Toyota,2021,70400,46360,Automatic
Proton X70,Proton,2020,71900,74530,Automatic
Perodua AXIA,Perodua,2016,28900,61585,Automatic
Perodua Aruz,Perodua,2020,58900,89129,Automatic
Perodua Bezza,Perodua,2017,37400,105447,Automatic
Perodua AXIA,Perodua,2021,39400,46214,Automatic
Perodua Aruz,Perodua,2023,66400,20168,Automatic
Proton Persona,Proton,2020,36800,52966,Automatic
Toyota Hilux,Toyota,2018,94800,89513,Automatic
Nissan Serena,Nissan,2019,87000,102729,Automatic
Toyota Hilux,Toyota,2023,125000,24346,Automatic
Proton X70,Proton,2019,58900,76198,Automatic
Proton X50,Proton,2020,76800,39010,Automatic
Nissan Almera,Nissan,2017,34400,158592,Automatic
Perodua Ativa,Perodua,2023,62800,22940,Automatic
Perodua Bezza,Perodua,2022,42000,42506,Automatic
Perodua Alza,Perodua,2016,35900,144414,Automatic
Perodua Alza,Perodua,2020,48000,57441,Automatic
Perodua AXIA,Perodua,2023,38400,15261,Automatic
Proton Persona,Proton,2019,35400,75805,Automatic
Perodua Bezza,Perodua,2020,41900,52966,Automatic
Perodua AXIA,Perodua,2019,31500,75642,Automatic
Honda Civic,Honda,2019,94800,88128,Automatic
Perodua AXIA,Perodua,2016,28900,61202,Automatic
Nissan Almera,Nissan,2018,39900,64726,Automatic
Perodua AXIA,Perodua,2018,32400,123588,Automatic
Honda HR-V,Honda,2016,57400,160419,Automatic
Perodua AXIA,Perodua,2020,35400,36774,Automatic
Perodua Bezza,Perodua,2019,38400,68520,Automatic
Honda CR-V,Honda,2022,141500,41674,Automatic
Honda CR-V,Honda,2022,120400,30484,Automatic
Toyota Vios,Toyota,2018,54400,56504,Automatic
Perodua Alza,Perodua,2017,38400,129318,Automatic
Proton X70,Proton,2019,64900,91391,Automatic
Toyota Vios,Toyota,2016,46400,134107,Automatic
Perodua AXIA,Perodua,2018,32900,65222,Automatic
Perodua AXIA,Perodua,2019,31600,105867,Automatic
Perodua AXIA,Perodua,2017,29900,73417,Automatic
Perodua Ativa,Perodua,2021,62800,46396,Automatic
Honda BR-V,Honda,2018,48900,109376,Automatic
Toyota Avanza,Toyota,2020,63000,77306,Automatic
Proton X50,Proton,2022,83400,43590,Automatic
Perodua Ativa,Perodua,2021,62800,60852,Automatic
Perodua AXIA,Perodua,2024,39000,5969,Automatic
Honda Civic,Honda,2018,78900,56473,Automatic
Toyota Corolla,Toyota,2022,113000,36662,Automatic
Proton Persona,Proton,2017,31900,62070,Automatic
Perodua AXIA,Perodua,2022,34000,30524,Automatic
Proton Iriz,Proton,2020,35400,44154,Automatic
Renault Captur,Renault,2019,42500,78675,Automatic
Perodua Bezza,Perodua,2019,38400,67180,Automatic
Honda Accord,Honda,2021,141800,29952,Automatic
Proton X50,Proton,2022,78000,37905,Automatic
Toyota Vios,Toyota,2016,46400,133714,Automatic
Toyota Vios,Toyota,2016,46900,121387,Automatic
Proton X50,Proton,2021,72900,47232,Automatic
Proton X70,Proton,2019,64400,102783,Automatic
Nissan Serena,Nissan,2019,92800,56373,Automatic
Toyota Vios,Toyota,2023,81900,10453,Automatic
Proton Exora,Proton,2019,42000,63398,Automatic
BMW 218i,BMW,2021,143000,21228,Automatic
Perodua AXIA,Perodua,2021,33200,65216,Automatic
Toyota Fortuner,Toyota,2016,94000,40612,Automatic
Toyota Corolla,Toyota,2023,114400,20038,Automatic
Perodua Aruz,Perodua,2019,53800,107548,Automatic
Nissan Serena,Nissan,2019,89400,83825,Automatic
Perodua Bezza,Perodua,2016,35400,74396,Automatic
Nissan Serena,Nissan,2019,87400,96173,Automatic
Honda BR-V,Honda,2018,52900,62891,Automatic
Perodua AXIA,Perodua,2018,28000,114860,Automatic
Honda HR-V,Honda,2022,92400,43404,Automatic
Honda CR-V,Honda,2022,134900,28704,Automatic
Proton X50,Proton,2022,69800,17165,Automatic
Perodua AXIA,Perodua,2020,32400,77802,Automatic
Perodua Ativa,Perodua,2023,62800,31971,Automatic
Proton Exora,Proton,2019,42000,71059,Automatic
Honda HR-V,Honda,2016,57400,126476,Automatic
Honda BR-V,Honda,2018,52900,99363,Automatic
Perodua AXIA,Perodua,2020,32400,35929,Automatic
Honda Civic,Honda,2020,105400,59793,Automatic
Honda BR-V,Honda,2019,56900,73645,Automatic
Perodua AXIA,Perodua,2020,32400,28284,Automatic
Honda HR-V,Honda,2016,57400,100275,Automatic
Proton Iriz,Proton,2017,29000,102706,Automatic
Honda HR-V,Honda,2018,67900,49254,Automatic
Proton X50,Proton,2021,72900,39315,Automatic
Perodua Bezza,Perodua,2019,32000,90564,Automatic
Toyota Vios,Toyota,2019,64400,63130,Automatic
Proton Persona,Proton,2020,36800,44833,Automatic
Perodua AXIA,Perodua,2022,37400,39104,Automatic
