Model,Brand,Year,Price,Mileage,Transmission
Perodua Bezza,Perodua,2017,"34,800",106300 KM,Automatic
Perodua Bezza,Perodua,2016,"32,500",123207 KM,Automatic
Honda City,Honda,2017,"54,000",117302 KM,Automatic
BMW 520i,BMW,2019,"159,800",75 - 80K KM,Automatic
Mazda CX-5,Mazda,2022,"116,800",60 - 65K KM,Automatic
Toyota Alphard,Toyota,2019,"199,000",50 - 55K KM,Automatic
Volkswagen Tiguan,Volkswagen,2021,"101,800",40 - 45K KM,Automatic
Honda Civic,Honda,2020,"95,800",90 - 95K KM,Automatic
Perodua Myvi,Perodua,2013,"19,800",90 - 95K KM,Automatic
Mazda 3,Mazda,2020,"113,800",95 - 100K KM,Automatic
Mercedes-Benz GLC250,Mercedes-Benz,2016,"139,800",90 - 95K KM,Automatic
Honda City,Honda,2022,"69,800",20 - 25K KM,Automatic
Land Rover Range Rover Velar,Land,2021,"288,800",20 - 25K KM,Automatic
BMW 328i,BMW,2015,"49,800",100 - 105K KM,Automatic
BMW 330i,BMW,2020,"179,800",50 - 55K KM,Automatic
Mercedes-Benz CLA45 AMG,Mercedes-Benz,2022,"375,000",15 - 20K KM,Automatic
Honda Civic,Honda,2021,"83,800",60 - 65K KM,Automatic
Peugeot 3008,Peugeot,2018,"54,800",100 - 105K KM,Automatic
Honda HR-V,Honda,2020,"79,800",65 - 70K KM,Automatic
Toyota Hilux,Toyota,2015,"61,800",110 - 115K KM,Automatic
Toyota Camry,Toyota,2017,"69,800",95 - 100K KM,Automatic
BMW 530i,BMW,2022,"259,800",60 - 65K KM,Automatic
Mercedes-Benz C200,Mercedes-Benz,2022,"205,800",40 - 45K KM,Automatic
Mitsubishi Triton,Mitsubishi,2019,"69,800",55 - 60K KM,Automatic
Mazda 3,Mazda,2016,"48,800",125 - 130K KM,Automatic
Ford Ranger,Ford,2017,"55,800",90 - 95K KM,Automatic
Honda City,Honda,2021,"63,800",45 - 50K KM,Automatic
Proton Saga,Proton,2019,"23,800",70 - 75K KM,Automatic
Proton X70,Proton,2021,"67,800",60 - 65K KM,Automatic
Honda HR-V,Honda,2021,"79,800",85 - 90K KM,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2013,"48,500",80 - 85K KM,Automatic
Perodua Alza,Perodua,2022,"56,800",30 - 35K KM,Automatic
Hyundai Grand Starex,Hyundai,2014,"51,800",110 - 115K KM,Automatic
Mercedes-Benz C300,Mercedes-Benz,2016,"121,800",75 - 80K KM,Automatic
Subaru XV,Subaru,2015,"33,800",95 - 100K KM,Automatic
Mitsubishi Triton,Mitsubishi,2020,"83,800",85 - 90K KM,Automatic
Honda Civic,Honda,2015,"44,800",90 - 95K KM,Automatic
BMW 520d,BMW,2013,"46,800",130 - 135K KM,Automatic
Mazda CX-5,Mazda,2018,"68,800",75 - 80K KM,Automatic
Mercedes-Benz C43 AMG,Mercedes-Benz,2019,"199,800",20 - 25K KM,Automatic
Mazda 3,Mazda,2018,"62,800",45 - 50K KM,Automatic
Mercedes-Benz A250,Mercedes-Benz,2014,"71,800",125 - 130K KM,Automatic
BMW 320d,BMW,2014,"48,500",65 - 70K KM,Automatic
BMW X5,BMW,2020,"238,800",20 - 25K KM,Automatic
BMW X3,BMW,2022,"225,500",25 - 30K KM,Automatic
BMW X6,BMW,2022,"515,000",25 - 30K KM,Automatic
Perodua AXIA,Perodua,2014,"15,900",80 - 85K KM,Automatic
Perodua Bezza,Perodua,2023,"40,888",10 - 15K KM,Automatic
Nissan X-Trail,Nissan,2019,"51,888",55 - 60K KM,Automatic
Mercedes-Benz GLA200,Mercedes-Benz,2019,"115,888",65 - 70K KM,Automatic
Honda Civic,Honda,2019,"82,888",55 - 60K KM,Automatic
Honda CR-V,Honda,2019,"90,888",70 - 75K KM,Automatic
Honda CR-V,Honda,2020,"94,888",65 - 70K KM,Automatic
Honda HR-V,Honda,2017,"54,888",65 - 70K KM,Automatic
Proton Persona,Proton,2020,"30,888",60 - 65K KM,Automatic
Honda Accord,Honda,2021,"121,888",55 - 60K KM,Automatic
BMW X1,BMW,2018,"62,888",55 - 60K KM,Automatic
Nissan Almera,Nissan,2022,"59,888",20 - 25K KM,Automatic
Toyota Vios,Toyota,2018,"39,888",45 - 50K KM,Automatic
Honda Civic,Honda,2015,"37,888",90 - 95K KM,Automatic
Mazda 6,Mazda,2016,"68,888",70 - 75K KM,Automatic
Mitsubishi Outlander,Mitsubishi,2019,"64,888",60 - 65K KM,Automatic
Honda City,Honda,2013,"24,888",80 - 85K KM,Automatic
Proton Persona,Proton,2019,"25,888",75 - 80K KM,Automatic
Toyota Camry,Toyota,2013,"33,888",90 - 95K KM,Automatic
Perodua Myvi,Perodua,2017/2018,"36,888",70 - 75K KM,Automatic
Toyota Hilux,Toyota,2016,"64,888",70 - 75K KM,Manual
Toyota Corolla Altis,Toyota,2018,"59,888",70 - 75K KM,Automatic
Honda HR-V,Honda,2020,"65,888",50 - 55K KM,Automatic
Perodua Myvi,Perodua,2010,"14,888",125 - 130K KM,Automatic
Mercedes-Benz E350 e,Mercedes-Benz,2017,"115,888",60 - 65K KM,Automatic
Honda Civic,Honda,2019,"68,888",50 - 55K KM,Automatic
Proton X70,Proton,2021,"56,888",55 - 60K KM,Automatic
Toyota Vios,Toyota,2018,"47,888",75 - 80K KM,Automatic
Ford Ranger,Ford,2019,"77,888",55 - 60K KM,Automatic
Nissan Serena,Nissan,2023,"127,888",0 - 5K KM,Automatic
Toyota Yaris,Toyota,2023,"70,888",10 - 15K KM,Automatic
Volvo S60,Volvo,2020,"144,800",25 - 30K KM,Automatic
Perodua Myvi,Perodua,2019,"46,000",80921 KM,Automatic
Honda Civic,Honda,2012,"45,888",100 - 105K KM,Automatic
Perodua Alza,Perodua,2014,"24,888",75 - 80K KM,Automatic
Nissan Almera,Nissan,2014,"22,400",175 - 180K KM,Automatic
Perodua Aruz,Perodua,2020,"56,000",41429 KM,Automatic
Toyota Yaris,Toyota,2021,"66,400",30405 KM,Automatic
Honda Civic,Honda,2016,"75,900",85 - 90K KM,Automatic
Mazda CX-5,Mazda,2017,"57,888",80 - 85K KM,Automatic
Honda Accord,Honda,2008,"19,000",245 - 250K KM,Automatic
Toyota Corolla Altis,Toyota,2020,"102,000",50 - 55K KM,Automatic
